date,AAPLclose,axpclose,catclose,baclose,cscoclose,cvxclose,ibmclose,msftclose,pgclose,xomclose
2014-04-01,71.441,84.5153,85.0836,113.3973,19.0847,98.2427,162.3411,36.6205,68.5901,81.8816
2014-04-02,71.5597,84.0135,85.4603,113.4858,19.8361,98.3171,164.0362,37.0046,68.3689,81.9235
2014-04-03,71.0638,84.5525,87.8749,113.9015,19.7416,98.6062,163.235,36.9421,68.1901,82.1079
2014-04-04,70.1445,82.8704,87.8064,112.6632,19.8275,98.3501,162.5097,36.6383,68.1646,82.0912
2014-04-07,69.0432,80.482,87.48100000000001,111.08,19.5026,98.1518,161.7338,35.6199,67.8838,81.6134
2014-04-08,69.0392,80.3797,86.5734,109.8064,19.6214,96.9456,164.0531,35.5573,68.4965,81.1272
2014-04-09,69.9467,82.4522,87.6694,112.221,19.6987,97.3256,163.0158,35.5752,69.2284,81.6888
2014-04-10,69.0445,79.3296,88.1831,109.3553,19.8532,98.3997,165.8411,36.1559,69.3475,81.5882
2014-04-11,68.5341,78.5675,87.5581,107.9667,19.4497,96.4085,165.0314,35.1642,69.0071,81.1272
2014-04-14,68.8071,79.4597,86.8645,109.0104,19.2865,96.6894,164.6182,35.0293,68.7263,81.0769
2014-04-15,68.3164,79.9615,88.0033,109.9125,19.6214,98.0692,166.7941,35.0034,68.7688,82.0325
2014-04-16,68.4549,81.2254,87.7636,111.478,19.6557,99.3911,166.1615,35.5127,68.7944,82.7199
2014-04-17,69.2371,80.1288,88.6507,113.1408,19.776,100.6552,165.6387,36.0934,69.4837,83.7761
2014-04-21,70.0588,80.547,88.5646,113.0524,19.9305,102.1836,160.2495,35.7449,69.5773,84.1784
2014-04-22,70.1286,80.9187,88.40100000000001,112.8136,20.0937,102.6463,162.1555,35.6824,69.4071,84.60600000000001
2014-04-23,69.212,80.9745,89.3053,115.5377,20.1967,102.448,162.0543,35.7271,69.1433,84.1365
2014-04-24,74.8861,81.2347,89.0383,114.8567,20.1796,103.0181,161.7001,35.4591,68.9319,84.2455
2014-04-25,75.4361,80.8816,90.6747,113.7953,20.0336,102.6959,160.4266,35.6109,69.6095,83.8348
2014-04-28,78.3576,80.9095,90.1666,112.3625,19.7502,102.4398,159.929,35.6556,69.8326,84.1701
2014-04-29,78.1255,81.5879,89.7962,113.5388,19.7674,103.8773,162.8893,36.5133,71.145,84.8071
2014-04-30,77.83,81.2533,90.6919,114.1137,19.8876,104.0756,164.5507,36.1916,70.7161,85.0419
2014-05-01,78.0134,80.6864,90.7781,113.6184,19.8447,103.7038,165.6977,36.0934,70.8104,85.8466
2014-05-02,78.1585,80.7886,90.4938,114.9274,19.7588,103.2246,163.2182,35.736,70.6303,85.0083
2014-05-05,79.2637,81.1883,90.4422,116.7141,19.6987,103.0429,161.4555,35.4591,70.27,85.5113
2014-05-06,78.3998,80.1102,90.0201,115.7146,19.7116,103.5716,161.3037,35.2268,70.0813,86.2657
2014-05-07,78.1255,81.7645,89.4603,115.93700000000001,19.5098,103.2494,160.2664,34.8962,69.5924,86.0645
2014-05-08,77.6146,82.3592,90.1063,116.1327,19.6386,104.2904,160.5803,35.2223,70.4159,86.4334
2014-05-09,77.2915,82.5637,90.3819,116.6041,19.7657,103.3486,160.2495,35.4144,70.4759,85.7711
2014-05-12,78.2535,83.3258,90.4852,117.9382,19.7674,103.29899999999999,161.24200000000002,35.325,70.6732,86.0413
2014-05-13,78.3763,82.796,91.4671,118.6942,19.9134,103.4725,163.3542,35.7092,70.1071,86.2776
2014-05-14,78.3908,82.2105,92.2853,118.2851,19.63,103.9765,163.0318,36.366,70.0041,86.3873
2014-05-15,77.7242,81.4113,91.7513,116.7019,19.587,104.4474,160.0883,36.204,69.6267,86.3282
2014-05-16,78.8713,87.4497,90.4249,116.3461,20.7635,103.1642,158.1712,35.6282,69.0777,85.0538
2014-05-19,79.8058,81.8946,91.3207,116.8264,20.9266,102.6393,158.6801,35.8352,68.9062,85.0201
2014-05-20,79.8217,80.9373,90.7695,115.2521,20.9095,102.4476,158.6292,35.7632,68.563,85.1298
2014-05-21,80.0329,81.6529,87.4708,116.4796,20.712,102.0727,156.8394,35.7002,68.8204,84.961
2014-05-22,80.1596,81.9224,88.6077,117.2622,21.0211,103.4559,158.1118,36.303000000000004,69.0434,86.1088
2014-05-23,81.0651,82.5079,88.7799,117.7692,20.9352,103.0142,157.5095,36.0781,69.1806,85.6615
2014-05-27,82.5831,84.9335,89.5981,119.3346,21.0554,102.7976,157.7301,36.0961,69.0691,85.5096
2014-05-28,82.3692,84.6269,89.2967,119.4769,21.2186,102.35600000000001,156.746,36.1591,68.6917,85.5433
